slug,ticker,platform,strategy,scrape_url
generac,GNRC,notified,notified,https://investors.generac.com/news-releases
general-mills,GIS,unknown,unknown,https://investors.generalmills.com/
genuine-parts,GPC,investorroom,investorroom,https://www.genpt.com/overview/press-releases
gilead,GILD,q4,q4_ir,https://investors.gilead.com/news/default.aspx
global-payments,GPN,notified,notified,https://investors.globalpayments.com/news-events/press-releases
globe-life,GL,notified,notified,https://investors.globelifeinsurance.com/news-releases
godaddy,GDDY,notified,notified,https://aboutus.godaddy.net/investor-relations/news-releases
goldman-sachs,GS,investorroom,investorroom,https://www.goldmansachs.com/investor-relations/news-releases
google,GOOGL,q4,q4_ir,https://abc.xyz/investor/news/default.aspx
halliburton,HAL,notified,notified,https://ir.halliburton.com/news-releases
home-depot,HD,investis,investis,https://ir.homedepot.com/news-releases
honeywell-aerospace,HONA,notified,notified,https://investor.honeywellaerospace.com/news-releases
honeywell-international,HON,notified,notified,https://investor.honeywell.com/investor-relations/news-releases
hp,HPQ,q4,q4_ir,https://investor.hp.com/news/default.aspx
hpe,HPE,investis,investis,https://investors.hpe.com/news-releases
hubbell,HUBB,unknown,unknown,https://investor.hubbell.com/
humana,HUM,notified,notified,https://humana.gcs-web.com/news-releases
ibm,IBM,investorroom,investorroom,https://newsroom.ibm.com/announcements
iff,IFF,notified,notified,https://ir.iff.com/news-releases
illinois-tool-works,ITW,q4,q4_ir,https://investor.itw.com/news/default.aspx
incyte,INCY,notified,notified,https://investor.incyte.com/news-releases
ingersoll-rand,IR,q4,q4_ir,https://investors.irco.com/news/default.aspx
insulet,PODD,q4,q4_ir,https://investor.insulet.com/news/default.aspx
intel,INTC,notified,notified,https://www.intc.com/news-releases
intercontinental-exchange,ICE,unknown,unknown,https://ir.theice.com/
international-paper,IP,notified,notified,https://www.internationalpaper.com/investors/news-releases
intuit,INTU,notified,notified,https://investors.intuit.com/news-releases
intuitive-surgical,ISRG,notified,notified,https://isrg.intuitive.com/news-releases
invitation-homes,INVH,q4,q4_ir,https://invh.com/news/default.aspx
iqvia,IQV,unknown,unknown,https://ir.iqvia.com/
j-m-smucker,SJM,q4,q4_ir,https://investors.jmsmucker.com/news/default.aspx
jabil,JBL,q4,q4_ir,https://investors.jabil.com/news/default.aspx
jack-henry,JKHY,notified,notified,https://ir.jackhenry.com/news-releases
jb-hunt,JBHT,investis,investis,https://investor.jbhunt.com/news-releases
johnson-and-johnson,JNJ,q4,q4_ir,https://www.investor.jnj.com/news/default.aspx
jp-morgan-chase,JPM,aem,aem,https://www.jpmorganchase.com/ir
keycorp,KEY,unknown,unknown,https://investor.key.com/
keysight,KEYS,unknown,unknown,https://investor.keysight.com/
kimco-realty,KIM,unknown,unknown,https://investors.kimcorealty.com/
kinder-morgan,KMI,q4,q4_ir,https://ir.kindermorgan.com/news/default.aspx
kkr,KKR,unknown,unknown,https://ir.kkr.com/
kla,KLAC,notified,notified,https://ir.kla.com/news-releases
kroger,KR,q4,q4_ir,https://ir.kroger.com/news/default.aspx
l3harris,LHX,unknown,unknown,https://investors.l3harris.com/
labcorp,LH,notified,notified,https://ir.labcorp.com/news-releases
